100
56 113
8 36 48
3 3
1 2 2
2 3 3
3 1 1
39 73
39 12 35
35 21 35
17 11 35
28 18 30
28 4 35
10 23 35
15 2 2
9 20 10
2 8 3
5 13 35
35 12 35
7 22 2
32 7 2
21 9 35
2 1 35
26 21 2
1 33 35
30 27 35
1 35 35
12 26 35
7 33 2
24 11 35
33 5 35
30 28 30
6 23 35
22 21 2
12 36 35
32 5 35
32 18 2
12 28 35
31 17 2
10 21 35
24 15 3
7 37 35
7 9 35
8 1 35
29 16 10
21 37 35
16 4 35
7 27 35
11 28 35
32 19 35
3 14 3
10 4 35
8 26 3
8 17 3
22 31 31
6 32 35
33 30 30
38 35 35
30 1 35
12 5 12
28 23 30
13 19 13
15 12 35
33 5 35
11 8 35
14 6 35
34 36 2
38 22 2
26 14 2
21 6 35
11 26 35
29 14 35
28 30 30
12 29 12
26 7 26
14 26 2
39 19 35
26 1 35
8 7 3
27 19 35
22 13 35
50 80
36 16 36
43 3 11
49 32 32
8 49 49
5 19 5
42 38 36
19 27 11
18 6 11
15 35 11
26 4 26
20 48 11
2 38 11
41 42 36
28 30 11
13 46 11
39 17 17
45 34 34
11 48 11
18 16 18
15 13 32
13 1 11
24 13 11
27 30 32
29 11 36
3 50 32
13 32 32
45 38 11
47 46 21
5 41 34
23 22 36
1 24 26
21 31 11
41 42 36
50 5 11
49 32 32
28 8 11
34 1 11
2 24 26
49 38 49
45 9 11
1 16 11
29 28 36
36 35 36
37 6 11
23 11 11
19 37 11
29 16 36
50 46 11
3 30 32
33 35 28
32 4 11
31 38 13
13 37 37
39 7 11
17 30 32
18 44 11
37 7 11
23 40 11
34 9 11
46 48 11
49 40 49
11 39 11
32 23 11
21 29 36
28 31 11
28 5 11
14 36 36
42 33 36
23 36 36
42 47 36
24 40 11
2 13 11
6 40 11
4 31 11
12 38 11
24 50 11
18 12 11
39 10 11
23 41 34
14 34 11
19 115
3 14 6
9 2 16
14 13 16
13 2 16
16 10 16
13 1 16
4 1 1
18 3 6
15 18 6
18 4 6
4 7 16
2 11 16
19 2 3
9 12 16
3 12 16
8 16 16
1 14 1
12 14 16
15 12 16
10 13 12
6 12 16
6 15 6
5 10 16
12 7 16
19 13 16
7 11 16
6 7 16
14 3 6
4 5 6
7 15 16
17 8 16
5 8 16
15 5 6
5 15 6
9 13 16
15 3 6
4 10 16
18 4 6
16 11 16
14 7 16
13 18 16
18 1 6
16 3 16
15 5 6
14 11 16
6 18 6
13 11 12
2 8 16
18 19 6
17 3 16
19 7 16
18 7 16
19 18 6
12 5 16
12 7 16
2 8 16
13 1 16
1 14 1
7 16 16
16 19 16
3 6 6
5 12 16
14 3 6
7 16 16
3 12 16
18 14 6
13 3 16
13 17 16
14 11 16
19 11 16
3 14 6
2 19 3
11 3 16
6 11 16
12 5 16
14 17 16
12 9 16
10 17 16
9 17 16
1 18 6
15 7 16
8 4 16
7 10 16
10 16 16
6 11 16
2 7 16
10 7 16
5 16 16
11 7 16
9 14 16
5 2 5
13 8 12
16 17 16
6 17 16
5 17 16
4 16 16
1 16 16
2 5 5
18 8 16
6 3 6
4 19 6
6 11 16
8 15 16
4 9 16
15 3 6
12 13 12
7 19 16
17 1 16
5 9 16
16 1 16
16 12 16
13 12 12
9 16 16
19 5 5
12 8 12
37 48
17 30 12
28 18 23
1 27 22
29 4 37
2 22 22
3 26 11
19 23 23
32 22 22
12 17 12
27 31 22
17 35 11
11 33 22
17 15 22
24 28 22
11 25 22
21 12 12
5 31 22
5 33 22
29 19 11
14 11 22
1 31 22
28 5 23
17 2 11
1 11 22
19 1 22
23 32 22
13 9 22
10 25 22
24 20 22
4 16 22
31 35 22
9 7 9
8 26 22
21 23 11
19 15 22
3 17 11
26 10 22
9 19 11
8 34 22
8 16 8
37 16 22
29 11 11
21 5 11
23 17 11
19 14 22
6 33 22
11 33 22
24 14 14
59 106
1 49 24
13 18 24
49 33 24
45 41 24
40 31 25
47 3 47
25 40 25
5 25 25
22 46 24
17 18 1
34 35 42
47 5 23
11 15 24
33 51 24
23 7 23
34 46 24
56 9 9
21 19 54
31 7 25
36 59 23
52 3 23
32 20 24
19 32 54
50 34 50
44 29 24
34 43 23
7 8 54
30 6 54
52 42 23
10 56 54
48 15 24
24 38 23
32 21 54
58 40 54
33 19 54
5 7 23
38 53 23
59 27 58
41 1 24
36 3 23
7 52 23
13 44 24
30 17 24
25 30 25
41 37 24
30 10 24
32 7 54
43 42 23
13 3 24
33 12 24
3 6 54
9 10 54
50 7 54
43 6 23
42 16 54
30 44 24
18 51 18
11 21 54
25 2 49
31 19 25
32 46 24
53 50 24
57 44 24
51 24 24
32 25 25
54 37 54
33 47 24
28 33 54
11 39 54
56 37 54
11 42 24
56 11 54
29 57 24
54 9 54
28 25 25
55 18 54
46 22 24
48 3 3
44 48 24
51 57 24
30 53 24
23 48 23
41 36 23
31 18 25
53 36 23
18 13 24
19 4 54
16 32 54
24 35 24
13 38 23
30 29 24
37 47 24
4 41 10
47 52 23
42 3 24
45 44 1
18 23 23
11 4 24
48 55 54
57 41 24
34 59 54
34 54 54
56 13 54
49 40 49
59 46 54
35 34 42
44 104
12 43 39
2 24 8
32 12 39
16 10 39
24 14 8
32 11 15
1 32 39
37 9 39
6 20 39
4 35 28
36 28 39
36 27 27
13 19 8
31 8 8
16 11 8
9 26 18
13 30 39
22 13 39
4 17 18
33 42 5
18 10 39
14 24 8
40 1 1
2 12 8
8 15 8
32 5 39
43 20 39
41 43 10
22 23 39
4 20 8
8 16 8
10 7 39
6 17 39
14 43 39
25 38 39
34 40 8
22 37 39
18 22 39
11 24 8
3 35 39
37 41 39
25 9 39
32 37 39
4 31 28
5 27 39
7 16 8
27 18 9
3 28 39
14 33 34
3 24 39
10 30 29
24 6 39
44 21 39
32 10 29
19 44 8
23 15 15
32 36 29
39 30 39
13 14 8
24 26 8
24 2 8
44 15 8
36 34 39
44 1 28
22 5 39
5 31 9
9 10 39
18 43 29
23 26 8
41 3 29
36 33 39
34 26 8
31 5 28
8 30 39
14 36 39
28 22 39
6 27 27
26 12 18
33 9 8
34 1 8
26 38 18
40 13 8
1 34 8
4 13 8
16 1 8
39 9 39
42 9 39
44 28 28
19 5 8
4 10 39
43 44 39
13 5 12
31 19 8
2 44 8
17 33 8
33 29 39
23 9 8
41 17 39
41 21 41
19 37 39
20 39 39
39 34 39
8 14 8
31 5 28
38 98
4 37 9
37 7 9
2 37 9
8 7 9
23 10 23
21 12 9
11 27 9
9 17 9
16 25 31
31 8 9
26 18 9
27 33 9
17 25 9
4 29 31
11 33 9
10 17 14
16 19 9
4 25 31
28 19 14
16 25 31
7 4 4
11 4 9
22 32 3
29 24 9
35 25 9
2 12 12
12 38 31
29 4 31
37 35 14
21 28 21
26 33 9
4 2 12
29 17 9
34 11 9
30 5 21
24 2 9
38 34 9
14 34 14
36 13 9
7 35 9
4 23 9
16 38 31
21 1 21
11 36 9
29 32 9
15 11 9
19 20 9
14 1 14
21 4 9
28 18 9
26 22 26
14 20 9
23 6 9
25 7 31
6 37 9
27 35 14
6 18 9
16 12 12
24 22 3
37 16 9
21 4 9
34 17 14
22 26 26
1 35 14
6 27 9
10 26 26
23 33 9
16 3 9
22 3 3
6 36 9
10 2 9
11 12 9
29 33 25
36 16 12
35 26 14
11 12 9
30 20 9
33 35 9
23 7 9
11 30 9
9 29 9
37 15 3
31 32 9
36 33 31
28 32 21
17 4 9
23 27 23
20 16 9
33 35 9
19 21 14
15 1 26
25 17 9
24 26 26
22 27 3
30 28 21
7 3 9
29 26 9
5 33 9
7 4
7 3 5
4 1 2
6 3 6
6 4 5
18 113
18 10 16
2 16 16
9 18 16
11 9 16
1 5 5
16 3 16
13 15 16
3 11 16
16 13 16
3 11 16
5 13 5
15 2 12
9 15 10
14 2 12
2 3 12
11 6 16
13 5 5
5 1 5
12 1 16
15 13 16
1 15 16
8 15 10
7 14 16
14 18 16
6 4 4
18 10 16
14 12 12
4 1 4
14 18 16
9 13 16
18 1 1
3 8 12
12 15 12
7 3 16
4 5 4
10 14 12
9 15 10
2 12 12
3 14 12
16 8 16
3 5 16
2 5 16
12 7 16
7 12 16
4 3 4
1 17 16
12 16 16
5 6 16
15 10 10
5 2 16
11 4 4
8 13 16
3 8 12
7 13 16
7 13 16
16 3 16
15 7 16
4 8 4
11 7 16
4 11 4
1 5 5
17 4 4
2 4 4
18 1 1
12 4 4
2 1 16
11 15 16
1 16 16
16 14 16
7 2 16
1 10 16
3 6 3
11 10 16
1 14 16
6 2 12
8 16 16
17 7 16
6 8 12
5 15 16
14 15 12
5 2 16
13 5 5
11 12 16
10 15 10
11 18 11
4 3 4
18 15 16
6 8 12
8 5 16
15 13 16
11 13 11
14 3 12
15 12 12
17 1 16
14 12 12
3 15 12
14 13 16
9 11 16
2 6 12
2 15 12
3 11 16
2 7 16
13 14 16
13 9 16
9 17 10
3 7 16
13 18 13
4 9 4
13 10 16
17 9 10
8 1 16
6 9 12
13 4 4
58 46
13 33 25
31 47 25
6 50 25
52 48 25
2 26 25
7 49 25
12 58 25
7 55 25
49 33 33
31 10 25
20 2 25
4 32 25
44 15 44
50 25 25
45 42 4
45 6 25
39 28 25
26 2 25
46 52 25
18 55 25
36 11 25
49 30 33
1 35 25
43 27 25
6 50 25
21 44 25
21 55 25
55 2 25
11 35 25
55 47 25
31 47 25
50 23 25
47 2 25
1 39 25
25 46 25
14 53 25
15 25 25
48 51 25
35 46 25
55 38 25
8 17 25
49 43 25
12 40 25
56 54 44
42 45 4
21 30 25
26 84
11 13 7
20 1 7
9 4 7
10 14 7
18 22 7
12 26 26
13 7 7
22 6 7
26 24 26
16 2 16
25 6 7
9 1 7
14 20 7
13 4 7
20 15 7
17 14 14
13 22 7
25 7 7
21 2 7
16 7 7
23 12 15
8 25 21
8 11 21
11 24 11
22 15 7
6 22 7
22 6 7
7 17 7
20 18 20
25 1 1
21 23 7
8 13 7
15 25 7
18 17 7
16 7 7
24 10 7
9 17 7
2 14 7
13 10 15
25 15 7
19 16 26
26 16 26
18 5 26
5 22 26
20 10 7
20 18 20
2 8 7
7 4 7
19 4 26
12 4 7
15 7 7
7 15 7
18 3 7
21 10 7
25 22 7
26 2 26
24 5 26
26 3 26
10 16 7
10 5 26
22 19 26
23 24 7
11 21 21
2 21 7
26 25 26
20 21 7
21 18 7
6 2 7
13 1 7
23 5 26
20 2 7
2 3 7
11 21 21
21 23 7
24 20 7
4 11 11
24 3 3
17 25 21
16 26 26
10 5 26
8 23 7
6 13 15
2 7 7
5 21 26
60 120
19 48 32
46 37 46
17 29 38
5 54 38
50 54 38
6 21 56
57 31 46
17 50 38
15 31 32
12 50 56
19 59 38
19 23 46
9 20 49
17 54 38
14 16 56
53 35 26
33 44 38
21 60 56
50 58 38
19 9 32
3 5 46
31 3 32
58 10 46
36 6 56
38 57 38
5 12 38
29 40 56
2 58 46
48 42 60
59 8 36
15 4 38
16 28 38
30 3 38
59 43 38
32 11 38
37 14 38
29 31 38
33 26 26
43 1 46
40 27 56
46 53 38
51 7 38
16 52 38
42 34 46
58 49 15
45 44 44
39 11 56
42 15 32
47 55 38
56 47 56
41 44 38
21 4 38
33 16 56
4 39 38
59 33 56
39 59 56
25 38 38
58 16 38
32 54 38
54 10 38
7 6 56
6 58 38
2 49 46
25 10 46
56 36 56
13 48 38
28 52 45
6 3 18
44 10 46
48 45 15
38 48 38
31 40 38
58 14 38
2 36 38
18 24 32
18 58 15
24 5 46
22 46 38
44 10 46
39 58 31
48 35 38
15 6 38
59 51 38
60 24 38
35 5 38
52 16 38
31 57 46
5 47 38
50 36 14
41 29 38
39 43 38
54 15 38
47 56 56
48 22 38
59 43 38
6 50 56
44 9 44
46 16 38
13 57 38
12 51 38
57 41 38
3 15 15
43 29 18
9 1 15
19 4 44
30 34 38
19 27 48
11 10 38
22 36 14
58 43 46
6 55 38
26 43 38
18 45 15
46 37 46
47 20 38
22 5 38
6 34 52
38 21 38
22 42 38
42 40 38
56 83
18 27 6
20 52 52
33 53 52
2 14 11
24 55 52
11 33 52
38 17 11
16 50 52
29 14 11
19 9 52
17 18 6
17 14 11
55 2 11
1 45 45
6 49 6
19 52 52
56 55 11
26 2 26
41 33 52
1 32 6
31 30 52
14 24 52
32 24 52
42 14 11
54 41 54
22 41 52
38 47 6
27 39 6
50 3 12
7 41 11
18 37 6
44 19 11
33 35 52
29 48 11
21 22 52
42 31 11
31 11 11
20 34 6
20 30 52
33 34 52
56 41 11
30 36 52
49 36 6
43 56 26
41 19 11
35 38 6
36 6 6
56 1 11
21 42 11
2 6 6
45 26 11
41 11 11
52 26 52
30 42 52
21 7 11
14 13 11
22 50 52
22 41 52
21 28 6
15 37 6
43 33 52
27 25 11
20 23 11
6 17 6
21 45 11
37 42 11
28 46 6
26 9 52
36 45 11
53 33 52
29 9 52
44 19 11
15 40 52
35 12 6
16 4 52
36 4 26
1 51 11
32 27 6
4 48 26
44 13 11
40 53 52
13 5 11
35 11 6
60 120
52 41 58
51 10 59
40 34 59
5 18 59
39 2 59
45 33 13
43 2 59
7 21 59
60 36 17
55 22 59
15 47 59
13 41 59
28 23 59
12 17 59
46 47 59
28 59 59
49 6 59
35 31 39
11 57 59
54 6 59
19 4 59
5 31 59
26 30 59
10 60 17
50 35 59
14 33 59
42 33 59
40 17 59
11 14 58
31 29 39
33 6 59
4 30 59
18 15 33
31 55 59
53 46 30
38 6 59
36 57 59
29 18 59
39 12 39
31 23 59
17 25 59
43 26 59
5 17 59
29 10 59
27 32 59
21 60 59
18 17 17
21 55 45
26 22 59
28 5 59
43 59 59
58 55 59
48 43 39
54 43 59
50 7 58
60 39 10
51 34 13
36 3 59
54 52 58
27 40 58
13 48 13
55 13 59
11 27 11
32 31 13
26 59 59
12 42 59
13 49 59
4 32 59
29 58 59
50 25 58
36 32 59
8 55 59
33 17 59
5 34 59
35 20 59
44 13 59
8 43 54
58 54 58
27 16 59
41 11 11
14 23 5
57 27 59
55 49 59
17 47 17
8 24 59
16 41 59
11 24 59
18 38 59
10 2 59
20 1 1
6 46 59
59 36 59
39 6 59
56 31 59
21 23 59
12 38 4
60 15 59
45 59 59
8 27 58
43 38 59
42 48 59
17 55 17
36 12 59
26 16 4
42 19 59
35 46 59
53 37 59
17 52 59
22 7 58
27 45 59
23 34 59
43 30 59
54 10 59
2 14 58
27 24 59
50 23 58
41 7 58
24 27 59
2 10 59
31 43 39
56 118
11 31 26
15 27 43
34 41 43
40 22 43
23 42 43
43 25 43
7 28 43
29 23 43
18 27 43
17 27 43
2 44 43
47 22 43
35 15 43
23 55 26
26 38 43
45 41 43
24 19 43
36 32 43
22 29 9
5 51 34
24 27 43
39 51 43
44 30 43
13 26 26
26 11 26
45 53 34
43 39 43
5 18 9
43 32 43
22 18 9
8 18 9
51 7 9
26 15 43
32 15 9
51 29 9
12 38 9
23 12 43
41 31 26
42 5 34
33 4 43
30 27 43
32 49 43
28 21 43
30 28 28
23 26 26
28 23 43
15 11 43
28 4 43
1 51 43
10 7 43
41 26 26
39 32 43
9 5 9
2 22 43
49 39 21
31 20 43
7 20 9
2 23 43
30 56 43
42 29 9
25 11 26
56 47 43
38 47 43
46 49 43
15 48 43
28 24 43
1 15 43
12 21 43
24 30 43
28 3 43
48 27 26
11 23 26
27 12 43
26 25 26
33 47 43
28 17 43
49 9 43
55 42 43
31 20 43
25 17 43
27 39 26
6 15 34
11 29 43
21 8 43
40 33 26
40 33 26
51 46 34
23 21 26
1 49 26
27 1 26
25 40 26
9 14 9
36 52 21
13 45 43
21 39 21
1 17 43
9 39 43
13 16 26
38 17 9
54 50 43
5 13 43
25 48 26
17 8 34
46 45 34
14 53 34
39 16 26
13 3 13
4 39 43
22 21 43
6 52 43
35 50 43
54 33 43
23 46 43
50 39 43
4 10 43
4 40 43
32 16 43
45 55 43
58 26
21 16 8
1 50 47
51 25 44
7 25 41
57 19 8
58 42 47
27 30 8
41 42 47
38 18 38
41 10 41
20 22 8
46 4 44
5 11 47
41 32 8
41 5 44
8 19 8
33 38 47
10 4 8
53 7 53
51 54 44
29 19 47
49 42 47
14 35 47
7 21 8
12 28 7
30 5 44
42 99
42 9 24
40 27 24
2 42 33
13 36 24
23 27 19
15 2 33
41 26 33
13 12 33
23 5 24
39 29 39
10 24 24
27 4 33
18 13 24
13 42 33
40 4 24
7 41 31
14 36 24
39 23 24
12 26 33
2 41 33
9 34 24
3 41 24
38 30 33
33 23 24
2 3 24
21 4 24
26 5 33
5 28 24
26 9 24
12 1 33
41 19 3
22 9 41
21 31 36
32 29 24
19 17 6
30 28 24
6 33 33
34 10 24
35 19 24
24 26 24
3 14 24
19 13 24
28 38 24
30 3 24
8 18 24
2 17 24
15 30 33
12 11 24
5 34 33
19 32 19
34 33 33
21 13 24
12 25 24
14 20 24
12 1 33
19 1 24
34 39 24
19 7 19
7 29 24
38 13 33
9 4 24
10 22 19
2 29 24
30 33 33
4 7 24
37 23 37
36 22 19
40 4 24
21 14 24
25 8 24
16 25 24
11 18 11
16 31 24
4 9 24
3 29 24
12 14 33
39 15 24
28 24 24
13 33 33
37 11 19
36 1 24
37 18 19
30 27 33
30 3 24
28 42 24
35 42 33
30 32 24
15 38 26
30 36 24
21 38 24
40 34 24
17 23 37
4 6 33
30 36 24
3 25 19
9 40 9
12 2 33
11 7 19
30 15 33
18 106
2 10 2
2 5 2
13 4 4
11 1 15
15 1 15
7 15 15
10 18 15
7 15 15
17 5 15
18 13 6
10 9 15
12 2 2
18 5 5
11 3 15
4 14 15
4 10 15
16 13 6
5 18 5
9 13 6
15 2 2
18 3 5
1 11 15
17 14 15
7 10 15
11 18 15
3 14 15
15 7 15
17 12 15
2 15 2
16 3 6
7 5 7
14 5 15
16 18 6
18 4 6
18 9 6
2 4 2
16 13 6
16 13 6
18 13 6
10 3 15
8 3 7
15 5 15
18 12 6
9 11 15
14 11 15
7 11 15
6 9 6
2 11 2
5 16 6
6 10 15
14 12 15
5 11 15
3 11 15
15 9 15
6 10 15
1 8 15
10 16 15
10 2 2
13 15 15
7 13 7
3 1 15
8 5 7
1 14 14
6 8 7
18 1 15
9 2 2
17 6 15
5 6 6
11 12 15
2 15 2
8 4 7
7 17 15
12 3 6
7 5 7
12 1 15
5 16 6
5 7 7
3 13 6
14 15 15
5 13 6
11 6 15
5 16 6
5 4 6
9 16 12
13 7 7
2 18 2
6 3 6
5 14 15
15 12 15
7 16 7
14 1 14
8 7 7
1 13 15
1 2 2
13 8 7
11 7 15
16 14 15
14 11 15
18 6 6
4 15 15
18 1 15
3 18 5
11 17 10
18 13 6
7 17 15
2 7 2
4 2
2 1 2
1 4 3
29 51
14 2 14
2 27 27
7 16 4
6 13 24
24 19 24
3 10 24
2 26 24
16 6 24
9 13 13
22 14 13
12 26 4
10 11 24
23 29 24
27 6 24
20 4 4
21 6 24
21 7 7
26 28 24
24 27 24
11 7 7
12 3 4
20 22 24
15 3 24
16 27 24
12 14 24
28 18 24
3 19 4
18 19 4
16 13 24
1 4 4
12 26 4
27 4 24
28 23 27
12 25 4
19 4 4
9 13 13
24 10 24
4 27 24
27 5 24
2 26 24
6 9 24
23 13 13
9 25 24
16 17 4
27 16 24
18 6 24
24 5 24
22 28 27
2 4 24
27 16 24
24 20 24
60 120
6 41 55
57 12 11
33 17 32
49 35 32
31 59 32
12 19 32
21 30 32
6 24 32
16 46 48
3 16 32
60 43 32
58 2 32
4 56 11
20 9 9
24 27 48
33 47 32
37 21 48
18 45 32
1 12 32
17 11 32
55 50 32
43 38 32
59 5 32
60 31 32
39 19 32
9 31 32
46 21 48
41 14 32
33 57 9
37 30 32
16 45 53
39 55 11
57 20 11
38 43 32
56 39 11
58 60 32
20 23 32
7 32 32
11 53 32
50 60 32
27 4 32
47 25 32
46 14 48
36 20 32
6 38 55
11 8 9
43 57 32
51 17 32
44 3 9
43 60 32
34 53 53
33 31 32
19 18 32
39 23 32
12 35 11
25 14 32
39 13 11
5 32 32
29 40 40
60 32 32
21 47 53
19 18 32
58 20 32
27 12 32
60 38 9
36 19 48
19 46 48
15 36 48
41 16 32
47 40 53
12 18 11
47 46 48
26 25 32
30 26 32
35 5 32
17 38 32
57 35 35
8 50 32
55 58 32
28 33 32
41 16 32
53 27 48
33 39 9
25 2 9
25 11 9
4 31 32
34 52 48
22 60 9
58 5 32
27 9 32
46 54 32
9 57 9
40 51 48
24 8 32
2 19 32
41 11 11
40 54 32
43 1 53
45 44 32
48 50 48
7 48 32
20 35 11
38 13 55
20 7 11
20 13 11
9 50 32
19 34 48
58 46 32
29 47 53
44 59 9
51 25 32
45 56 32
38 39 11
24 32 32
44 28 32
51 60 32
15 30 32
57 13 55
44 26 32
47 4 32
9 83
8 3 2
6 2 2
2 7 2
7 2 2
4 2 2
5 2 5
5 3 7
2 7 2
8 5 5
7 2 2
6 7 2
4 3 2
1 6 3
9 6 2
8 3 2
9 6 2
7 8 2
9 7 3
7 2 2
7 3 2
8 2 2
1 8 2
8 2 2
6 5 5
6 2 2
2 9 2
7 3 2
1 9 2
1 7 2
9 7 5
6 9 2
5 9 5
9 8 4
3 6 3
1 4 2
2 5 5
1 9 2
7 4 2
3 5 5
3 4 2
2 8 6
6 1 3
7 5 5
1 8 2
6 8 2
5 3 5
8 2 2
3 5 5
7 3 2
4 2 2
7 3 2
8 4 4
7 6 2
8 4 4
8 6 2
7 9 2
9 8 4
4 2 2
9 5 5
4 2 2
2 6 2
4 2 2
3 8 2
2 5 5
4 1 2
6 1 4
1 8 2
3 7 2
6 7 8
4 7 2
8 7 2
9 8 4
1 2 2
3 7 2
2 1 2
8 3 2
4 3 2
9 8 4
3 9 2
9 8 4
8 3 2
9 4 4
9 4 4
5 86
4 5 5
5 2 5
3 4 5
2 5 5
2 1 1
1 2 1
1 3 5
5 1 5
5 3 5
4 2 2
3 1 5
4 3 5
4 2 2
2 5 5
4 5 5
2 4 2
5 1 5
5 2 5
5 1 5
4 5 5
1 3 5
5 3 5
2 4 2
2 4 2
2 4 2
1 5 5
3 1 5
1 3 5
3 4 5
1 5 5
3 4 5
2 3 5
5 3 5
3 2 5
5 2 5
3 4 5
2 5 5
3 4 5
5 2 5
1 4 1
4 3 5
5 3 5
3 5 5
2 3 5
3 5 5
2 5 5
2 3 5
2 3 5
3 4 5
5 2 5
3 1 5
1 5 5
1 3 5
3 5 5
5 3 5
3 1 5
3 2 5
4 5 5
1 3 5
4 5 5
5 1 5
4 2 2
1 2 1
3 4 5
4 3 5
2 4 2
1 3 5
1 2 1
4 5 5
4 5 5
4 1 1
5 1 5
3 1 5
5 4 5
4 2 2
1 5 5
2 1 1
1 4 1
5 1 5
5 2 5
1 3 5
3 2 5
5 3 5
1 4 1
1 2 1
1 3 5
48 101
38 35 21
48 17 21
38 5 21
19 4 7
41 10 21
10 8 8
32 24 21
41 33 21
35 6 21
16 40 39
38 12 6
38 23 21
6 22 22
13 27 21
43 17 21
3 48 21
22 12 22
44 24 21
17 24 21
26 36 21
35 24 21
7 40 21
11 33 21
23 11 21
18 26 22
25 4 25
27 45 21
20 14 21
20 36 46
28 20 21
36 44 21
12 21 21
13 20 21
42 16 21
9 31 21
24 25 25
29 45 21
47 2 21
26 37 21
35 34 9
9 30 21
20 1 46
13 33 21
12 40 21
27 33 43
42 35 21
18 46 22
25 20 25
9 25 21
48 19 21
36 1 46
33 8 8
16 41 16
21 46 21
5 35 21
34 33 21
16 47 21
25 8 8
18 41 22
32 20 21
22 17 22
2 35 9
38 21 21
2 3 9
11 20 21
10 21 21
3 18 22
16 13 21
26 1 21
36 31 46
20 23 21
14 4 21
46 30 21
2 35 9
34 15 9
45 39 39
17 38 21
22 47 22
24 1 43
32 40 21
14 32 21
36 5 21
18 22 22
41 39 39
30 22 22
46 5 21
40 6 21
44 5 21
30 47 21
38 32 21
23 10 21
9 17 9
22 20 22
14 38 21
8 10 8
5 29 21
18 29 22
10 24 43
5 15 21
34 25 21
28 4 21
12 9
1 5 7
11 2 6
9 4 12
8 12 6
10 1 7
4 3 12
3 10 6
8 11 8
2 5 10
10 52
9 6 6
9 7 7
7 8 7
10 4 10
3 7 5
5 6 5
9 6 6
2 3 5
6 4 10
7 2 5
9 2 5
6 9 6
5 8 5
2 1 5
4 9 10
9 1 1
5 4 10
10 7 10
4 9 10
10 2 10
9 7 7
9 8 7
4 1 10
3 7 5
4 2 10
1 2 5
3 7 5
3 1 5
8 6 7
7 3 5
10 1 10
8 1 1
6 1 1
8 5 5
5 7 5
8 6 7
4 9 10
6 4 10
2 5 5
6 4 10
2 5 5
7 10 10
10 8 10
3 1 5
9 1 1
9 10 10
4 8 10
6 3 5
3 10 10
3 10 10
8 5 5
10 2 10
60 120
14 31 47
42 55 6
22 26 47
6 32 15
29 49 47
57 15 15
48 41 47
35 44 15
20 40 39
56 25 37
38 49 15
28 51 15
39 56 15
7 13 47
10 56 15
37 10 15
33 28 47
11 41 11
31 15 15
8 48 47
48 49 47
56 54 15
19 42 47
32 11 47
31 10 15
47 1 47
53 45 15
30 27 15
12 38 15
28 3 15
43 25 15
46 17 47
52 11 47
40 15 15
17 58 17
25 40 15
53 7 53
27 23 47
23 10 47
4 6 47
59 38 47
2 10 15
42 59 47
23 47 47
57 13 47
56 30 15
58 41 47
54 48 47
45 16 15
56 58 15
56 60 60
46 24 46
19 52 47
37 36 6
57 5 55
35 54 35
44 9 47
3 31 15
4 53 47
15 40 15
12 28 37
56 5 37
58 27 15
25 32 15
59 8 47
7 5 28
60 25 37
33 18 47
38 8 47
45 30 39
3 42 15
26 55 47
18 6 15
43 9 47
46 17 47
50 30 15
59 1 47
38 13 47
3 19 47
35 41 47
26 55 47
25 13 47
6 4 47
16 52 6
51 26 47
57 12 37
51 50 15
11 60 47
30 26 47
1 57 15
12 16 37
42 49 15
47 29 47
22 60 37
12 2 6
58 43 58
8 54 47
34 20 15
57 3 15
27 10 15
25 20 15
2 21 47
4 27 47
46 40 47
54 22 15
1 36 15
25 43 15
60 13 47
10 57 15
9 25 47
25 30 15
52 7 6
4 33 47
55 49 15
48 10 47
34 27 55
42 43 15
29 30 47
24 36 47
28 58 15
58 64
23 16 23
39 51 18
8 36 2
25 1 18
35 39 18
35 21 2
8 32 8
2 25 2
42 14 8
48 29 2
41 33 2
51 36 18
23 39 2
9 56 2
5 50 35
7 55 2
23 11 2
16 58 2
9 28 50
43 41 2
31 25 18
6 55 8
21 50 2
23 29 2
9 40 18
38 5 18
26 50 2
32 54 2
47 22 2
57 35 18
34 20 8
57 5 18
31 2 2
21 32 21
15 18 2
29 44 2
37 10 18
12 9 18
20 58 2
19 40 18
2 7 2
4 54 2
50 1 18
33 11 18
48 32 2
50 38 18
8 54 2
53 57 18
28 20 2
5 3 2
11 20 2
21 12 2
22 24 2
43 3 2
31 49 2
11 46 2
47 6 2
48 36 2
15 6 2
17 50 2
39 33 4
1 50 18
27 54 2
41 19 2
49 18
39 26 47
34 39 39
10 1 17
35 13 47
18 12 47
35 42 47
1 49 47
8 7 7
40 2 47
35 10 21
12 48 42
17 48 47
12 3 47
48 33 47
2 47 47
12 7 47
35 27 21
30 47 47
41 97
41 36 2
35 31 6
7 3 3
9 4 2
13 23 6
26 35 6
10 1 6
4 17 6
1 38 6
12 37 36
26 4 26
28 32 2
15 2 2
29 28 6
24 38 2
14 34 6
6 21 6
8 1 6
33 13 2
26 4 26
37 38 2
11 20 3
19 17 29
13 35 6
18 34 6
28 24 2
9 26 2
20 2 2
21 37 2
8 10 2
41 3 2
4 40 2
14 10 2
7 40 2
23 22 6
21 18 21
5 26 2
38 26 2
20 38 3
7 41 2
35 30 6
7 21 2
19 17 29
28 26 2
25 28 6
3 32 2
20 9 3
31 32 2
24 14 2
29 32 6
13 26 2
12 23 6
14 33 2
38 20 3
27 13 2
14 13 2
8 18 2
9 7 3
